loja,valor,clientes
Zara,452153.12,542
Renner,151093.3,395
Sephora,142895.35,217
Centauro,88193.45,221
Kipling,74338.4,57
Shoulder,73547.29000000001,93
LE LIS BLANC DEUX,62631.81,38
iPlace Mobile,59841.76,21
Kalunga,59836.090000000004,246
C&A,52324.96,149
L'Occitane En Provence,47012.38,51
Altenburg,46619.55,57
Superlegal Brinquedos,46384.090000000004,174
Livrarias Catarinense,45704.69,263
Schutz,43412.8,51
Riachuelo,42934.88,160
Boiko,41097.5,13
Vivara,39125.43,17
Souq ,38667.6,40
Outback Steakhouse,37506.45,92
