faixa_etaria,dia_semana,valor,transacoes
16-24 (Gen Z),Domingo,39673.13,140
16-24 (Gen Z),Quarta,37016.7,150
16-24 (Gen Z),Quinta,31555.68,163
16-24 (Gen Z),Sabado,28439.66,180
16-24 (Gen Z),Segunda,33048.12,185
16-24 (Gen Z),Sexta,48583.29,118
16-24 (Gen Z),Terca,46444.21,131
25-39 (Millennials),Domingo,391046.34,1468
25-39 (Millennials),Quarta,423364.25,1513
25-39 (Millennials),Quinta,391937.98,1347
25-39 (Millennials),Sabado,449543.43,1592
25-39 (Millennials),Segunda,468973.64,1632
25-39 (Millennials),Sexta,359571.71,1363
25-39 (Millennials),Terca,474104.37,1765
40-54 (Gen X),Domingo,579011.11,2012
40-54 (Gen X),Quarta,720590.01,2498
40-54 (Gen X),Quinta,605126.23,2145
40-54 (Gen X),Sabado,608750.43,2390
40-54 (Gen X),Segunda,672742.63,2288
40-54 (Gen X),Sexta,611728.44,2193
40-54 (Gen X),Terca,725884.1,2631
55-69 (Boomers),Domingo,181638.71,475
55-69 (Boomers),Quarta,173224.64,557
55-69 (Boomers),Quinta,167558.05,451
55-69 (Boomers),Sabado,185254.67,503
55-69 (Boomers),Segunda,253526.36000000002,686
55-69 (Boomers),Sexta,154635.37,546
55-69 (Boomers),Terca,253651.38999999998,770
70+ (Silent),Domingo,15126.48,48
70+ (Silent),Quarta,41072.51,91
70+ (Silent),Quinta,20003.33,80
70+ (Silent),Sabado,25334.54,96
70+ (Silent),Segunda,15287.17,61
70+ (Silent),Sexta,54806.89,60
70+ (Silent),Terca,26312.85,72
Nao Informado,Quarta,2511.44,4
Nao Informado,Sabado,2932.25,3
Nao Informado,Segunda,425.6,2
Nao Informado,Sexta,2177.87,12
Nao Informado,Terca,24.0,1
