faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),168435.56,480
Boomers (1946-1964),Noite (18h-22h),245838.04,758
Boomers (1946-1964),Tarde (12h-18h),376714.33,949
Gen X (1965-1980),Manha (6h-12h),856958.39,2960
Gen X (1965-1980),Noite (18h-22h),1227134.95,4132
Gen X (1965-1980),Tarde (12h-18h),1286005.18,4606
Gen Z (1997-2012),Manha (6h-12h),217116.7,661
Gen Z (1997-2012),Noite (18h-22h),226366.17,1039
Gen Z (1997-2012),Tarde (12h-18h),245031.47,1136
Millennials (1981-1996),Manha (6h-12h),1113102.16,3768
Millennials (1981-1996),Noite (18h-22h),1688402.72,5878
Millennials (1981-1996),Tarde (12h-18h),1651696.5,6017
Nao Informado,Manha (6h-12h),425.6,2
Nao Informado,Noite (18h-22h),4901.49,4
Nao Informado,Tarde (12h-18h),24.0,1
Silent (antes 1946),Manha (6h-12h),1264.87,4
Silent (antes 1946),Noite (18h-22h),6959.72,10
Silent (antes 1946),Tarde (12h-18h),6261.73,17
