loja,valor,clientes
Zara,2745262.9,3568
Vivara,1756415.94,538
Renner,1459160.3,3453
Sephora,1130117.24,1663
Centauro,968914.1900000001,2005
iPlace Mobile,761895.74,216
Superlegal Brinquedos,628290.36,1641
C&A,576368.95,1643
BOSS,492558.55,236
Paris Cosméticos,488205.59,1190
Life Vivara,477806.37,600
Riachuelo,477248.72000000003,1352
Lindt,397873.12,1498
Vivo,363192.0,54
Sandra Duwe,347787.62,72
Padrão,347606.97,179
Track&Field,345936.16,529
Livrarias Catarinense,334973.15,1825
Schutz,334428.8,406
Victor Hugo,318282.35,96
