faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,715910.28,1773
Boomers (1946-1964),Quarta,377617.41,862
Boomers (1946-1964),Quinta,396750.1,861
Boomers (1946-1964),Sabado,641761.97,1431
Boomers (1946-1964),Segunda,380893.74,903
Boomers (1946-1964),Sexta,449151.85,875
Boomers (1946-1964),Terca,397018.89,799
Gen X (1965-1980),Domingo,3519056.75,9563
Gen X (1965-1980),Quarta,1758863.38,3526
Gen X (1965-1980),Quinta,1506967.62,3535
Gen X (1965-1980),Sabado,2492600.05,6182
Gen X (1965-1980),Segunda,1711586.09,4155
Gen X (1965-1980),Sexta,1375499.18,3539
Gen X (1965-1980),Terca,1194682.56,3057
Gen Z (1997-2012),Domingo,1446101.84,4200
Gen Z (1997-2012),Quarta,480057.56,1454
Gen Z (1997-2012),Quinta,476622.82,1469
Gen Z (1997-2012),Sabado,848895.83,2575
Gen Z (1997-2012),Segunda,551176.06,1641
Gen Z (1997-2012),Sexta,522554.77,1407
Gen Z (1997-2012),Terca,441196.48,1353
Millennials (1981-1996),Domingo,5926858.81,16692
Millennials (1981-1996),Quarta,2304684.21,5798
Millennials (1981-1996),Quinta,2196853.48,5615
Millennials (1981-1996),Sabado,3822065.59,10223
Millennials (1981-1996),Segunda,2586557.5100000002,6692
Millennials (1981-1996),Sexta,2158583.44,5799
Millennials (1981-1996),Terca,1840457.37,4743
Nao Informado,Domingo,22378.11,41
Nao Informado,Quarta,10494.41,30
Nao Informado,Quinta,7714.31,37
Nao Informado,Sabado,3155.66,9
Nao Informado,Segunda,29005.08,59
Nao Informado,Sexta,5285.18,22
Nao Informado,Terca,5240.75,17
Silent (antes 1946),Domingo,19228.76,47
Silent (antes 1946),Quarta,8515.51,27
Silent (antes 1946),Quinta,18133.88,32
Silent (antes 1946),Sabado,18314.21,43
Silent (antes 1946),Segunda,14850.56,36
Silent (antes 1946),Sexta,14749.0,41
Silent (antes 1946),Terca,15870.95,20
