faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),28875.04,73
Boomers (1946-1964),Noite (18h-22h),36873.45,136
Boomers (1946-1964),Tarde (12h-18h),88867.52,185
Gen X (1965-1980),Manha (6h-12h),123626.31,627
Gen X (1965-1980),Noite (18h-22h),264295.09,1297
Gen X (1965-1980),Tarde (12h-18h),257678.6,1475
Gen Z (1997-2012),Manha (6h-12h),33777.91,238
Gen Z (1997-2012),Noite (18h-22h),144525.08,738
Gen Z (1997-2012),Tarde (12h-18h),97679.37,614
Millennials (1981-1996),Manha (6h-12h),239730.63,1082
Millennials (1981-1996),Noite (18h-22h),469980.84,2547
Millennials (1981-1996),Tarde (12h-18h),481475.08,2784
Nao Informado,Noite (18h-22h),30.0,1
Nao Informado,Tarde (12h-18h),108.0,2
Silent (antes 1946),Manha (6h-12h),1026.53,4
Silent (antes 1946),Noite (18h-22h),1684.07,7
Silent (antes 1946),Tarde (12h-18h),375.76,3
