faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,392748.9,700,1
Millennials (1981-1996),Joalheria,162949.85,50,2
Millennials (1981-1996),Gastronomia,155607.25,814,3
Millennials (1981-1996),Beleza e Bem-estar,81197.75,300,4
Millennials (1981-1996),Calçados,59437.95,175,5
Gen X (1965-1980),Moda,193689.72,312,1
Gen X (1965-1980),Gastronomia,76597.13,365,2
Gen X (1965-1980),Casa e Decoração,52784.34,97,3
Gen X (1965-1980),Beleza e Bem-estar,44704.07,169,4
Gen X (1965-1980),Joalheria,38020.2,26,5
Gen Z (1997-2012),Moda,100086.61,184,1
Gen Z (1997-2012),Joalheria,24863.35,8,2
Gen Z (1997-2012),Gastronomia,24782.56,204,3
Gen Z (1997-2012),Eletrodomésticos,20773.05,52,4
Gen Z (1997-2012),Beleza e Bem-estar,17683.91,88,5
Boomers (1946-1964),Joalheria,66358.95,6,1
Boomers (1946-1964),Moda,22110.41,32,2
Boomers (1946-1964),Gastronomia,11161.43,38,3
Boomers (1946-1964),Moda Feminina,9528.18,9,4
Boomers (1946-1964),Casa e Decoração,7013.88,12,5
Nao Informado,Gastronomia,108.0,1,1
Nao Informado,Serviços,30.0,1,2
Silent (antes 1946),Moda,951.35,2,1
Silent (antes 1946),Vestuário feminino,701.6,1,2
Silent (antes 1946),Calçados,699.8,1,3
Silent (antes 1946),Casa e Decoração,420.87,1,4
Silent (antes 1946),Livrarias,149.9,1,5
