loja,valor,clientes
Renner,1180271.64,2560
Nike Unite,1060171.49,1807
Vivara,1050778.15,321
C&A,774621.26,1860
Centauro,648071.73,1380
Riachuelo,610804.46,1549
Empório Du Homem,366109.83,341
Decathlon,350732.6,1072
Óticas Carol,333156.5,177
Claro,332365.08,92
Arezzo,312532.63,475
Vivo,310254.37,45
Carioca Calçados,291678.82,624
Brooksfield,287986.56,204
Magazine Luiza,283514.92,109
Clifield,269262.75,356
iPlace Mobile,254806.68,77
Luz da Lua,235979.38999999998,181
Damyller ,225590.03,234
Ótica Diniz,216859.51,117
