segmento,valor,clientes,ranking,shopping,sigla
Moda,27814361.66,24528,1,Neumarkt Shopping,NK
Joalheria,9925149.15,4551,2,Neumarkt Shopping,NK
Beleza e Bem-estar,7830267.94,14403,3,Neumarkt Shopping,NK
Calçados,7224053.4799999995,12055,4,Neumarkt Shopping,NK
Gastronomia,6460615.65,15881,5,Neumarkt Shopping,NK
Casa e Decoração,5948250.59,10803,6,Neumarkt Shopping,NK
Esportes,4300037.57,7949,7,Neumarkt Shopping,NK
Moda Feminina,4232168.4,3706,8,Neumarkt Shopping,NK
Telefonia,3897832.22,1166,9,Neumarkt Shopping,NK
Ótica,3673712.42,2210,10,Neumarkt Shopping,NK
Moda,35507478.34,32909,1,Garten Shopping,GS
Joalheria,12431876.97,4298,2,Garten Shopping,GS
Calçados,7805375.56,14737,3,Garten Shopping,GS
Gastronomia,5342623.45,17069,4,Garten Shopping,GS
Esportes,4701596.86,9173,5,Garten Shopping,GS
Beleza e Bem-estar,4604149.52,9828,6,Garten Shopping,GS
Casa e Decoração,3696208.09,8207,7,Garten Shopping,GS
Serviços,3029872.29,3041,8,Garten Shopping,GS
Presentes e Acessórios,2926610.3,8902,9,Garten Shopping,GS
Telefonia,2819474.38,997,10,Garten Shopping,GS
Moda,35076569.51,35148,1,Continente Shopping,CS
Joalheria,7002199.52,3393,2,Continente Shopping,CS
Calçados,6841998.61,14156,3,Continente Shopping,CS
Gastronomia,6838693.3,20912,4,Continente Shopping,CS
Telefonia,6552238.73,1652,5,Continente Shopping,CS
Esportes,5397782.8100000005,11411,6,Continente Shopping,CS
Eletrodomésticos,4482100.54,6231,7,Continente Shopping,CS
Beleza e Bem-estar,4476162.01,11838,8,Continente Shopping,CS
Ótica,4051760.85,2806,9,Continente Shopping,CS
Casa e Decoração,1950395.33,3009,10,Continente Shopping,CS
Moda,7347357.04,11848,1,Norte Shopping,NR
Eletrodomésticos,6062212.32,5249,2,Norte Shopping,NR
Casa e Decoração,4796259.5,7136,3,Norte Shopping,NR
Calçados,3015769.93,6907,4,Norte Shopping,NR
Beleza e Bem-estar,2968599.76,8202,5,Norte Shopping,NR
Eletrônicos,2928618.14,1414,6,Norte Shopping,NR
Supermercado,2492133.0,4407,7,Norte Shopping,NR
Esportes,2248573.06,4662,8,Norte Shopping,NR
Telefonia,2042895.16,1067,9,Norte Shopping,NR
Serviços,1895752.43,2707,10,Norte Shopping,NR
Moda,70161315.8,45548,1,Balneário Shopping,BS
Joalheria,21291185.88,6599,2,Balneário Shopping,BS
Beleza e Bem-estar,16048903.83,22447,3,Balneário Shopping,BS
Calçados,12273777.63,17506,4,Balneário Shopping,BS
Moda Feminina,9260333.45,6278,5,Balneário Shopping,BS
Gastronomia,8247949.56,23742,6,Balneário Shopping,BS
Infantil,6536790.96,11684,7,Balneário Shopping,BS
Eletrônicos,6408245.38,2397,8,Balneário Shopping,BS
Esportes,5853255.63,9773,9,Balneário Shopping,BS
Casa e Decoração,5801884.75,5472,10,Balneário Shopping,BS
Moda,15098123.6,15173,1,Nações Shopping,NS
Gastronomia,2584447.45,7665,2,Nações Shopping,NS
Beleza e Bem-estar,2433788.47,5943,3,Nações Shopping,NS
Joalheria,2367348.54,1556,4,Nações Shopping,NS
Casa e Decoração,2356355.59,3655,5,Nações Shopping,NS
Esportes,1845875.73,3471,6,Nações Shopping,NS
Calçados,1773471.3800000001,4390,7,Nações Shopping,NS
Eletrônicos,1485644.4,370,8,Nações Shopping,NS
Calçados Femininos,1391609.33,1459,9,Nações Shopping,NS
Infantil,1193109.06,3184,10,Nações Shopping,NS
