faixa_etaria,periodo_dia,valor,transacoes
16-24 (Gen Z),Manha (6h-12h),54429.66,282
16-24 (Gen Z),Noite (18h-22h),187237.15,1075
16-24 (Gen Z),Tarde (12h-18h),128422.7,987
25-39 (Millennials),Manha (6h-12h),329252.7,1574
25-39 (Millennials),Noite (18h-22h),916239.84,4918
25-39 (Millennials),Tarde (12h-18h),767019.59,4837
40-54 (Gen X),Manha (6h-12h),345712.11,1692
40-54 (Gen X),Noite (18h-22h),846160.28,4619
40-54 (Gen X),Tarde (12h-18h),782675.81,4523
55-69 (Boomers),Manha (6h-12h),52874.95,259
55-69 (Boomers),Noite (18h-22h),96942.96,573
55-69 (Boomers),Tarde (12h-18h),110487.56,599
70+ (Silent),Manha (6h-12h),2546.6,14
70+ (Silent),Noite (18h-22h),6559.21,59
70+ (Silent),Tarde (12h-18h),20668.64,70
Nao Informado,Manha (6h-12h),418.12,14
Nao Informado,Noite (18h-22h),7947.82,88
Nao Informado,Tarde (12h-18h),4612.01,48
