faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,18677.91,124
Boomers (1946-1964),Quarta,20283.77,104
Boomers (1946-1964),Quinta,18822.09,83
Boomers (1946-1964),Sabado,15356.35,93
Boomers (1946-1964),Segunda,19597.73,88
Boomers (1946-1964),Sexta,12319.05,66
Boomers (1946-1964),Terca,16685.96,103
Gen X (1965-1980),Domingo,209596.92,1060
Gen X (1965-1980),Quarta,162377.26,929
Gen X (1965-1980),Quinta,163495.67,961
Gen X (1965-1980),Sabado,180884.3,1034
Gen X (1965-1980),Segunda,136783.25,751
Gen X (1965-1980),Sexta,129078.31,787
Gen X (1965-1980),Terca,173614.06,1067
Gen Z (1997-2012),Domingo,125873.41,767
Gen Z (1997-2012),Quarta,103266.86,699
Gen Z (1997-2012),Quinta,111450.19,710
Gen Z (1997-2012),Sabado,142316.56,691
Gen Z (1997-2012),Segunda,90981.59,543
Gen Z (1997-2012),Sexta,90423.29,564
Gen Z (1997-2012),Terca,102890.71,652
Millennials (1981-1996),Domingo,429706.65,2253
Millennials (1981-1996),Quarta,374771.28,2183
Millennials (1981-1996),Quinta,394734.65,2217
Millennials (1981-1996),Sabado,472242.77,2266
Millennials (1981-1996),Segunda,307548.76,1707
Millennials (1981-1996),Sexta,270981.52,1676
Millennials (1981-1996),Terca,348186.53,1968
Nao Informado,Domingo,566.4200000000001,5
Nao Informado,Quarta,1735.84,14
Nao Informado,Quinta,335.89,8
Nao Informado,Sabado,1522.44,6
Nao Informado,Segunda,794.4300000000001,5
Nao Informado,Sexta,549.77,11
Nao Informado,Terca,1631.8,20
Silent (antes 1946),Domingo,895.6600000000001,4
Silent (antes 1946),Quarta,271.93,4
Silent (antes 1946),Quinta,719.9,1
Silent (antes 1946),Sabado,849.37,4
Silent (antes 1946),Sexta,6890.0,1
Silent (antes 1946),Terca,496.86,2
