loja,valor,clientes
Renner,248885.0,706
Nike Unite,161267.81,312
Vivara,156774.51,47
Magazine Luiza,123022.68000000001,79
C&A,121653.23,411
Centauro,118134.44,317
Riachuelo,107682.26,433
Decathlon,102198.76,399
Panvel Farmácias,100629.41,381
Vivo,90122.0,23
Kalunga,87525.6,477
Livrarias Catarinense,68192.96,476
Ri Happy Baby,61651.6,253
iPlace Mobile,56963.869999999995,25
Óticas Carol,55014.72,35
Claro,52412.96,13
Madero,47669.66,172
Studio Z,45761.09,241
Carioca Calçados,45721.05,136
Empório Du Homem,44447.11,67
