faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),225516.8,696
Boomers (1946-1964),Noite (18h-22h),805023.48,1753
Boomers (1946-1964),Tarde (12h-18h),643650.46,1963
Gen X (1965-1980),Manha (6h-12h),1113793.73,4310
Gen X (1965-1980),Noite (18h-22h),2751129.49,10003
Gen X (1965-1980),Tarde (12h-18h),2507379.74,9858
Gen Z (1997-2012),Manha (6h-12h),299745.15,1382
Gen Z (1997-2012),Noite (18h-22h),1050330.53,4351
Gen Z (1997-2012),Tarde (12h-18h),799205.4400000001,3655
Millennials (1981-1996),Manha (6h-12h),2050401.08,7306
Millennials (1981-1996),Noite (18h-22h),4344673.55,17376
Millennials (1981-1996),Tarde (12h-18h),3813661.08,16402
Nao Informado,Noite (18h-22h),78.0,2
Nao Informado,Tarde (12h-18h),192.95,3
Silent (antes 1946),Manha (6h-12h),38495.64,53
Silent (antes 1946),Noite (18h-22h),13281.74,48
Silent (antes 1946),Tarde (12h-18h),13762.89,32
