faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,275166.27,934
Boomers (1946-1964),Quarta,93405.16,324
Boomers (1946-1964),Quinta,280359.73,892
Boomers (1946-1964),Sabado,555689.6,910
Boomers (1946-1964),Segunda,66030.27,270
Boomers (1946-1964),Sexta,319269.6,913
Boomers (1946-1964),Terca,84270.11,169
Gen X (1965-1980),Domingo,1349747.44,4972
Gen X (1965-1980),Quarta,652427.62,2593
Gen X (1965-1980),Quinta,1173676.92,3997
Gen X (1965-1980),Sabado,1361615.58,4835
Gen X (1965-1980),Segunda,488781.48,2236
Gen X (1965-1980),Sexta,998442.28,3823
Gen X (1965-1980),Terca,347611.64,1715
Gen Z (1997-2012),Domingo,588748.87,2059
Gen Z (1997-2012),Quarta,215849.02,1046
Gen Z (1997-2012),Quinta,313151.01,1370
Gen Z (1997-2012),Sabado,382307.0,1752
Gen Z (1997-2012),Segunda,177442.43,916
Gen Z (1997-2012),Sexta,366747.71,1577
Gen Z (1997-2012),Terca,105035.08,668
Millennials (1981-1996),Domingo,2336068.55,8801
Millennials (1981-1996),Quarta,1022759.35,4331
Millennials (1981-1996),Quinta,1710020.21,6429
Millennials (1981-1996),Sabado,1978391.16,8219
Millennials (1981-1996),Segunda,863622.6,3957
Millennials (1981-1996),Sexta,1715645.65,6356
Millennials (1981-1996),Terca,582228.19,2991
Nao Informado,Domingo,30.0,1
Nao Informado,Sabado,156.0,3
Nao Informado,Sexta,84.95,1
Silent (antes 1946),Domingo,25715.24,22
Silent (antes 1946),Quarta,4979.86,10
Silent (antes 1946),Quinta,15069.92,46
Silent (antes 1946),Sabado,8637.5,21
Silent (antes 1946),Segunda,605.38,7
Silent (antes 1946),Sexta,5732.38,16
Silent (antes 1946),Terca,4799.99,11
