faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,679280.86,1671
Boomers (1946-1964),Quarta,249185.84,763
Boomers (1946-1964),Quinta,315154.86,924
Boomers (1946-1964),Sabado,584510.9,1610
Boomers (1946-1964),Segunda,411923.93,824
Boomers (1946-1964),Sexta,776489.17,1419
Boomers (1946-1964),Terca,333206.1,879
Gen X (1965-1980),Domingo,2628824.71,7249
Gen X (1965-1980),Quarta,790756.13,2284
Gen X (1965-1980),Quinta,1592609.83,3800
Gen X (1965-1980),Sabado,2429720.78,6814
Gen X (1965-1980),Segunda,1419291.83,3858
Gen X (1965-1980),Sexta,1833672.27,5259
Gen X (1965-1980),Terca,1182302.24,3162
Gen Z (1997-2012),Domingo,981429.27,3361
Gen Z (1997-2012),Quarta,320482.33,1118
Gen Z (1997-2012),Quinta,524521.39,1605
Gen Z (1997-2012),Sabado,858687.99,2734
Gen Z (1997-2012),Segunda,455024.53,1519
Gen Z (1997-2012),Sexta,578025.02,2070
Gen Z (1997-2012),Terca,388049.44,1234
Millennials (1981-1996),Domingo,4257268.21,13015
Millennials (1981-1996),Quarta,1270804.3,3909
Millennials (1981-1996),Quinta,2199543.02,6052
Millennials (1981-1996),Sabado,3577631.91,11414
Millennials (1981-1996),Segunda,1954083.96,5982
Millennials (1981-1996),Sexta,2735151.18,8187
Millennials (1981-1996),Terca,1725342.57,4878
Nao Informado,Domingo,122.8,1
Nao Informado,Quarta,299.66,1
Nao Informado,Sabado,2688.94,5
Silent (antes 1946),Domingo,14730.71,49
Silent (antes 1946),Quarta,5458.87,22
Silent (antes 1946),Quinta,2742.06,13
Silent (antes 1946),Sabado,14266.51,50
Silent (antes 1946),Segunda,8644.09,13
Silent (antes 1946),Sexta,9527.0,37
Silent (antes 1946),Terca,13809.43,33
