faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,88651.69,294
Boomers (1946-1964),Quarta,72099.94,179
Boomers (1946-1964),Quinta,94904.84,258
Boomers (1946-1964),Sabado,152991.54,343
Boomers (1946-1964),Segunda,85373.84,251
Boomers (1946-1964),Sexta,108406.52,239
Boomers (1946-1964),Terca,71594.59,175
Gen X (1965-1980),Domingo,537609.1,1888
Gen X (1965-1980),Quarta,412364.27,850
Gen X (1965-1980),Quinta,439877.77999999997,1090
Gen X (1965-1980),Sabado,817263.88,2224
Gen X (1965-1980),Segunda,417056.15,1064
Gen X (1965-1980),Sexta,472664.93,1277
Gen X (1965-1980),Terca,350936.37,883
Gen Z (1997-2012),Domingo,189537.07,866
Gen Z (1997-2012),Quarta,94507.92,326
Gen Z (1997-2012),Quinta,110422.56,386
Gen Z (1997-2012),Sabado,218483.46,762
Gen Z (1997-2012),Segunda,112250.59,371
Gen Z (1997-2012),Sexta,131151.7,488
Gen Z (1997-2012),Terca,90202.88,314
Millennials (1981-1996),Domingo,917458.64,3795
Millennials (1981-1996),Quarta,391646.15,1247
Millennials (1981-1996),Quinta,553998.08,1825
Millennials (1981-1996),Sabado,1098664.79,3697
Millennials (1981-1996),Segunda,527940.43,1680
Millennials (1981-1996),Sexta,647082.68,2045
Millennials (1981-1996),Terca,416082.0,1243
Nao Informado,Sabado,346.28,4
Nao Informado,Sexta,69.97,2
Silent (antes 1946),Domingo,549.46,2
Silent (antes 1946),Quarta,12876.800000000001,31
Silent (antes 1946),Quinta,469.92,2
Silent (antes 1946),Sabado,8352.83,8
Silent (antes 1946),Segunda,7764.84,16
Silent (antes 1946),Sexta,139.6,1
Silent (antes 1946),Terca,3176.86,13
