faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),32753.6,61
Boomers (1946-1964),Noite (18h-22h),78862.63,221
Boomers (1946-1964),Tarde (12h-18h),85882.13,295
Gen X (1965-1980),Manha (6h-12h),150559.53,514
Gen X (1965-1980),Noite (18h-22h),377204.1,1292
Gen X (1965-1980),Tarde (12h-18h),370768.27,1496
Gen Z (1997-2012),Manha (6h-12h),42878.12,165
Gen Z (1997-2012),Noite (18h-22h),148900.52,665
Gen Z (1997-2012),Tarde (12h-18h),104054.88,470
Millennials (1981-1996),Manha (6h-12h),250545.25,828
Millennials (1981-1996),Noite (18h-22h),614572.27,2203
Millennials (1981-1996),Tarde (12h-18h),528852.33,2302
Nao Informado,Tarde (12h-18h),301.75,3
Silent (antes 1946),Manha (6h-12h),889.75,1
Silent (antes 1946),Noite (18h-22h),1915.16,2
Silent (antes 1946),Tarde (12h-18h),1848.67,4
