faixa_etaria,periodo_dia,valor,transacoes
16-24 (Gen Z),Manha (6h-12h),33913.75,227
16-24 (Gen Z),Noite (18h-22h),192522.21,753
16-24 (Gen Z),Tarde (12h-18h),130159.63,610
25-39 (Millennials),Manha (6h-12h),251906.3,1078
25-39 (Millennials),Noite (18h-22h),1163316.54,3852
25-39 (Millennials),Tarde (12h-18h),1051199.35,3856
40-54 (Gen X),Manha (6h-12h),254033.98,1161
40-54 (Gen X),Noite (18h-22h),1037063.15,3233
40-54 (Gen X),Tarde (12h-18h),1095309.94,3685
55-69 (Boomers),Manha (6h-12h),65673.93000000001,218
55-69 (Boomers),Noite (18h-22h),266434.2,757
55-69 (Boomers),Tarde (12h-18h),324843.24,803
70+ (Silent),Manha (6h-12h),15801.59,24
70+ (Silent),Noite (18h-22h),27995.02,64
70+ (Silent),Tarde (12h-18h),56387.34,136
Nao Informado,Manha (6h-12h),749.82,3
Nao Informado,Noite (18h-22h),3613.4,14
Nao Informado,Tarde (12h-18h),2222.07,11
