faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),30590.12,166
Boomers (1946-1964),Noite (18h-22h),91613.39,314
Boomers (1946-1964),Tarde (12h-18h),68283.13,352
Gen X (1965-1980),Manha (6h-12h),226110.27,1206
Gen X (1965-1980),Noite (18h-22h),580725.19,2843
Gen X (1965-1980),Tarde (12h-18h),604242.42,3498
Gen Z (1997-2012),Manha (6h-12h),146661.03,880
Gen Z (1997-2012),Noite (18h-22h),621455.12,3402
Gen Z (1997-2012),Tarde (12h-18h),453648.07,3139
Millennials (1981-1996),Manha (6h-12h),518456.15,2651
Millennials (1981-1996),Noite (18h-22h),1458260.74,7832
Millennials (1981-1996),Tarde (12h-18h),1456439.79,8294
Nao Informado,Manha (6h-12h),2058.89,3
Nao Informado,Noite (18h-22h),7252.49,20
Nao Informado,Tarde (12h-18h),3153.01,32
Silent (antes 1946),Noite (18h-22h),1410.91,2
Silent (antes 1946),Tarde (12h-18h),1757.3,7
