loja,valor,clientes
Zara,9964952.46,9780
Vivara,5842813.14,1285
Renner,4915654.86,9072
Sephora,3321879.06,4217
Centauro,2782634.44,4997
iPlace Mobile,2491892.7600000002,611
C&A,2241854.43,5125
Riachuelo,1601778.05,3946
.,1592465.79,1696
Superlegal Brinquedos,1363221.6500000001,3263
Paris Cosméticos,1346953.19,2571
Life Vivara,1339283.08,1435
Kulkes,1314136.2,25
Tok&Stok,1229152.9,1250
BOSS,1061490.71,427
Arezzo,1027716.6799999999,1619
Brooksfield,1026278.4400000001,574
Padrão,1009804.61,429
Outback Steakhouse,980226.38,2573
Track&Field,967115.21,1154
