faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,22741.65,54
Boomers (1946-1964),Quarta,20859.6,49
Boomers (1946-1964),Quinta,15192.31,38
Boomers (1946-1964),Sabado,30482.31,52
Boomers (1946-1964),Segunda,66761.02,60
Boomers (1946-1964),Sexta,17654.66,44
Boomers (1946-1964),Terca,21331.02,44
Gen X (1965-1980),Domingo,148105.19,268
Gen X (1965-1980),Quarta,120679.01,192
Gen X (1965-1980),Quinta,132320.3,228
Gen X (1965-1980),Sabado,174660.84,271
Gen X (1965-1980),Segunda,92391.27,183
Gen X (1965-1980),Sexta,87631.39,166
Gen X (1965-1980),Terca,216994.31,230
Gen Z (1997-2012),Domingo,44328.04,79
Gen Z (1997-2012),Quarta,92395.23,57
Gen Z (1997-2012),Quinta,12987.66,43
Gen Z (1997-2012),Sabado,28546.81,76
Gen Z (1997-2012),Segunda,41204.39,58
Gen Z (1997-2012),Sexta,24059.25,66
Gen Z (1997-2012),Terca,19310.05,46
Millennials (1981-1996),Domingo,228241.51,402
Millennials (1981-1996),Quarta,181465.19,295
Millennials (1981-1996),Quinta,124826.01,274
Millennials (1981-1996),Sabado,187112.79,389
Millennials (1981-1996),Segunda,154657.07,332
Millennials (1981-1996),Sexta,149816.5,322
Millennials (1981-1996),Terca,248165.63,351
Nao Informado,Domingo,518.5,2
Nao Informado,Quarta,638.49,2
Nao Informado,Quinta,17.5,1
Nao Informado,Sabado,88.87,3
Nao Informado,Segunda,43.7,2
Nao Informado,Terca,112.42,2
Silent (antes 1946),Sabado,740.15,2
Silent (antes 1946),Segunda,2253.0,1
