faixa_etaria,dia_semana,valor,transacoes
16-24 (Gen Z),Domingo,915929.0,3263
16-24 (Gen Z),Quarta,418158.09,1493
16-24 (Gen Z),Quinta,506129.8,1785
16-24 (Gen Z),Sabado,529050.85,2104
16-24 (Gen Z),Segunda,799222.49,2815
16-24 (Gen Z),Sexta,433571.83,1650
16-24 (Gen Z),Terca,635865.88,2169
25-39 (Millennials),Domingo,7466304.49,24610
25-39 (Millennials),Quarta,3432327.61,10467
25-39 (Millennials),Quinta,4277547.4,13346
25-39 (Millennials),Sabado,5319114.89,17206
25-39 (Millennials),Segunda,6858006.14,21030
25-39 (Millennials),Sexta,4209266.49,12986
25-39 (Millennials),Terca,5277329.79,15855
40-54 (Gen X),Domingo,8607923.79,25804
40-54 (Gen X),Quarta,4790164.27,13145
40-54 (Gen X),Quinta,5726211.73,16772
40-54 (Gen X),Sabado,6508677.72,19659
40-54 (Gen X),Segunda,9076064.6,25030
40-54 (Gen X),Sexta,5330730.47,15639
40-54 (Gen X),Terca,7390451.31,19455
55-69 (Boomers),Domingo,2588016.13,7258
55-69 (Boomers),Quarta,1791506.44,4388
55-69 (Boomers),Quinta,2159130.82,5316
55-69 (Boomers),Sabado,2240522.14,6048
55-69 (Boomers),Segunda,2947438.3,7431
55-69 (Boomers),Sexta,2049330.0,5177
55-69 (Boomers),Terca,2430522.18,5710
70+ (Silent),Domingo,456807.85,1150
70+ (Silent),Quarta,316234.09,805
70+ (Silent),Quinta,444434.69,877
70+ (Silent),Sabado,347777.41,892
70+ (Silent),Segunda,601668.51,1207
70+ (Silent),Sexta,333832.95,854
70+ (Silent),Terca,390314.49,967
Nao Informado,Domingo,9036.9,34
Nao Informado,Quarta,999.84,3
Nao Informado,Quinta,822.75,2
Nao Informado,Sabado,1453.6,3
Nao Informado,Segunda,1176.71,6
Nao Informado,Terca,9994.789999999999,7
