faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,655973.09,1690
Boomers (1946-1964),Quarta,299299.66,723
Boomers (1946-1964),Quinta,472926.13,923
Boomers (1946-1964),Sabado,557830.74,1199
Boomers (1946-1964),Segunda,414537.56,904
Boomers (1946-1964),Sexta,505016.46,1011
Boomers (1946-1964),Terca,318136.25,654
Gen X (1965-1980),Domingo,3229244.03,9144
Gen X (1965-1980),Quarta,1198235.28,2962
Gen X (1965-1980),Quinta,1371459.19,3846
Gen X (1965-1980),Sabado,2584988.42,6728
Gen X (1965-1980),Segunda,1344245.16,3696
Gen X (1965-1980),Sexta,1574722.1,4126
Gen X (1965-1980),Terca,1040612.14,2749
Gen Z (1997-2012),Domingo,1473048.92,4995
Gen Z (1997-2012),Quarta,471057.78,1664
Gen Z (1997-2012),Quinta,540531.73,2139
Gen Z (1997-2012),Sabado,1093133.93,3797
Gen Z (1997-2012),Segunda,583247.55,1669
Gen Z (1997-2012),Sexta,638393.04,2339
Gen Z (1997-2012),Terca,469614.66,1517
Millennials (1981-1996),Domingo,5619012.59,16717
Millennials (1981-1996),Quarta,1858781.79,5381
Millennials (1981-1996),Quinta,2048326.3800000001,6751
Millennials (1981-1996),Sabado,3842514.59,12326
Millennials (1981-1996),Segunda,2203095.73,6282
Millennials (1981-1996),Sexta,2365843.43,7295
Millennials (1981-1996),Terca,1634037.39,4959
Nao Informado,Domingo,4737.79,12
Nao Informado,Quarta,227.0,1
Nao Informado,Quinta,380.0,1
Nao Informado,Sabado,2527.59,13
Nao Informado,Segunda,1206.51,4
Nao Informado,Sexta,3723.56,3
Silent (antes 1946),Domingo,26144.89,73
Silent (antes 1946),Quarta,13190.29,26
Silent (antes 1946),Quinta,3862.1,19
Silent (antes 1946),Sabado,9992.89,20
Silent (antes 1946),Segunda,4425.1900000000005,23
Silent (antes 1946),Sexta,9012.61,21
Silent (antes 1946),Terca,5366.26,15
