faixa_etaria,periodo_dia,valor,transacoes
16-24 (Gen Z),Manha (6h-12h),416305.54,1093
16-24 (Gen Z),Noite (18h-22h),1187926.02,3643
16-24 (Gen Z),Tarde (12h-18h),1040187.5,2839
25-39 (Millennials),Manha (6h-12h),3641710.52,9035
25-39 (Millennials),Noite (18h-22h),9465819.32,25124
25-39 (Millennials),Tarde (12h-18h),7531725.17,19886
40-54 (Gen X),Manha (6h-12h),4416995.09,10231
40-54 (Gen X),Noite (18h-22h),10847252.18,28209
40-54 (Gen X),Tarde (12h-18h),9893935.3,24872
55-69 (Boomers),Manha (6h-12h),1337618.39,2822
55-69 (Boomers),Noite (18h-22h),3124344.0100000002,6790
55-69 (Boomers),Tarde (12h-18h),3576464.18,7438
70+ (Silent),Manha (6h-12h),385039.12,353
70+ (Silent),Noite (18h-22h),470548.91,910
70+ (Silent),Tarde (12h-18h),936547.07,1371
Nao Informado,Manha (6h-12h),403.71,7
Nao Informado,Noite (18h-22h),9772.79,11
Nao Informado,Tarde (12h-18h),7182.9,8
