sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
CS,Gen Z (1997-2012),155,15.346534653465346,98237.29000000001
CS,Millennials (1981-1996),526,52.07920792079208,413808.93
CS,Gen X (1965-1980),269,26.633663366336634,231969.46000000002
CS,Boomers (1946-1964),58,5.742574257425743,64544.99
CS,Silent (antes 1946),2,0.19801980198019803,1401.5700000000002
BS,Gen X (1965-1980),238,26.8018018018018,305615.07999999996
BS,Millennials (1981-1996),484,54.5045045045045,626096.03
BS,Gen Z (1997-2012),108,12.162162162162163,69698.03
BS,Boomers (1946-1964),56,6.306306306306306,66787.37
BS,Silent (antes 1946),2,0.22522522522522523,2629.49
NK,Millennials (1981-1996),450,50.67567567567568,330778.56
NK,Gen Z (1997-2012),103,11.5990990990991,73995.94
NK,Gen X (1965-1980),280,31.53153153153153,305142.26
NK,Boomers (1946-1964),53,5.968468468468469,48376.13
NK,Silent (antes 1946),2,0.22522522522522523,1632.2400000000002
NR,Gen Z (1997-2012),55,17.405063291139243,22211.43
NR,Millennials (1981-1996),175,55.379746835443036,118753.6
NR,Gen X (1965-1980),79,25.0,56973.03999999999
NR,Boomers (1946-1964),7,2.2151898734177213,5656.389999999999
GS,Millennials (1981-1996),408,59.56204379562043,278264.48
GS,Gen Z (1997-2012),106,15.474452554744525,65840.73
GS,Gen X (1965-1980),151,22.043795620437955,137947.90999999997
GS,Nao Informado,1,0.145985401459854,488.9
GS,Boomers (1946-1964),19,2.7737226277372264,14945.73
NS,Millennials (1981-1996),312,57.038391224862885,214227.87
NS,Gen X (1965-1980),124,22.6691042047532,92205.29999999999
NS,Gen Z (1997-2012),97,17.73308957952468,45101.119999999995
NS,Boomers (1946-1964),14,2.5594149908592323,7281.25
