faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),242581.39,580
Boomers (1946-1964),Noite (18h-22h),496320.15,1359
Boomers (1946-1964),Tarde (12h-18h),660659.65,1632
Gen X (1965-1980),Manha (6h-12h),1170789.63,3546
Gen X (1965-1980),Noite (18h-22h),2836701.38,8374
Gen X (1965-1980),Tarde (12h-18h),2775331.93,8092
Gen Z (1997-2012),Manha (6h-12h),355716.33,1404
Gen Z (1997-2012),Noite (18h-22h),1069817.88,4129
Gen Z (1997-2012),Tarde (12h-18h),863880.27,3412
Millennials (1981-1996),Manha (6h-12h),1759664.25,5696
Millennials (1981-1996),Noite (18h-22h),4349896.15,15759
Millennials (1981-1996),Tarde (12h-18h),3947403.71,14131
Nao Informado,Noite (18h-22h),894.5400000000001,3
Nao Informado,Tarde (12h-18h),1758.34,16
Silent (antes 1946),Manha (6h-12h),6713.610000000001,12
Silent (antes 1946),Noite (18h-22h),10576.18,22
Silent (antes 1946),Tarde (12h-18h),38791.81,82
