cliente_id,valor_total,qtd_compras,genero,faixa_etaria,segmento_preferido,loja_preferida,ranking
333450,350000.0,2,Masculino,70+ (Silent),Joalheria,Bergerson,1
448550,299345.59,19,Feminino,25-39 (Millennials),Joalheria,Vivara ,2
249639,195024.78999999998,11,Masculino,25-39 (Millennials),Moda,Bergerson,3
149041,190159.4,3,Masculino,55-69 (Boomers),Moda,Bergerson,4
159349,145000.0,2,Masculino,55-69 (Boomers),Joalheria,Bergerson,5
287189,139084.73,5,Masculino,25-39 (Millennials),Serviços,CVC,6
195612,128785.67,105,Feminino,55-69 (Boomers),Moda,Maze Skate,7
268133,126855.20999999999,12,Masculino,25-39 (Millennials),Joalheria,Bergerson,8
364751,125153.93,4,Masculino,70+ (Silent),Moda,Brooksfield,9
192786,93873.27,8,Masculino,Nao Informado,Moda,Adidas,10
369226,91453.3,4,Feminino,25-39 (Millennials),Beleza e Bem-estar,L'occitane Au Brasil,11
149570,88607.28,2,Masculino,55-69 (Boomers),Joalheria,Bergerson,12
403747,88009.01000000001,6,Masculino,25-39 (Millennials),Joalheria,Bergerson,13
216279,84549.23999999999,9,Feminino,55-69 (Boomers),Joalheria,Bergerson,14
257503,81982.84,5,Masculino,55-69 (Boomers),Joalheria,Bergerson,15
242175,81289.42,24,Feminino,40-54 (Gen X),Gastronomia,Havaianas,16
316420,80000.0,1,Masculino,70+ (Silent),Joalheria,Bergerson,17
316490,78979.78,2,Masculino,40-54 (Gen X),Joalheria,Bergerson,18
356209,76278.04,1,Masculino,70+ (Silent),Serviços,CVC,19
344524,75530.0,3,Feminino,40-54 (Gen X),Joalheria,Bergerson,20
122068,74837.81,110,Feminino,55-69 (Boomers),Moda,Le Lis Blanc,21
289981,73224.92,4,Masculino,25-39 (Millennials),Joalheria,Bergerson,22
362329,72500.0,1,Masculino,40-54 (Gen X),Joalheria,Bergerson,23
157707,72099.91,4,Masculino,55-69 (Boomers),Joalheria,Bergerson,24
259464,65496.28,15,Feminino,25-39 (Millennials),Moda,Renner,25
115712,62620.82,662,Feminino,40-54 (Gen X),Gastronomia,Dona Torta,26
191550,60421.7,16,Masculino,40-54 (Gen X),Moda,Bergerson,27
462807,60000.0,1,Feminino,70+ (Silent),Joalheria,Bergerson,28
482243,60000.0,1,Masculino,70+ (Silent),Joalheria,Vivara ,29
376799,59666.4,2,Masculino,25-39 (Millennials),Joalheria,Bergerson,30
463109,58976.32,2,Masculino,40-54 (Gen X),Joalheria,Bergerson,31
133427,56612.45,22,Feminino,40-54 (Gen X),Moda,Bergerson,32
151589,55298.98,2,Masculino,25-39 (Millennials),Joalheria,Bergerson,33
394456,55000.0,1,Masculino,40-54 (Gen X),Joalheria,Bergerson,34
285348,53550.3,5,Masculino,40-54 (Gen X),Serviços,CVC,35
126068,53207.0,2,Masculino,40-54 (Gen X),Joalheria,Bergerson,36
351132,52273.0,1,Masculino,55-69 (Boomers),Joalheria,Bergerson,37
484473,51850.0,1,Masculino,25-39 (Millennials),Joalheria,Bergerson,38
294421,51707.96,5,Feminino,55-69 (Boomers),Joalheria,Bergerson,39
135831,51404.840000000004,13,Feminino,40-54 (Gen X),Salão de Beleza | Barbearia,Jack Simonéia Garten,40
57064,50945.88,189,Feminino,40-54 (Gen X),Gastronomia,Idéli Oui,41
118878,50681.95,120,Feminino,40-54 (Gen X),Gastronomia,Centauro,42
159569,49695.46,16,Feminino,40-54 (Gen X),Moda,Arezzo,43
495441,49266.8,3,Masculino,55-69 (Boomers),Moda,Bergerson,44
198868,48999.52,198,Feminino,40-54 (Gen X),Gastronomia,ADCOS,45
118781,48731.77,53,Feminino,55-69 (Boomers),Moda,Le Lis Blanc,46
117146,47802.41,379,Feminino,40-54 (Gen X),Moda,Dona Torta,47
198279,47612.06,149,Feminino,40-54 (Gen X),Moda,Renner,48
57754,47300.0,1,Feminino,70+ (Silent),Joalheria,Bergerson,49
112440,46629.15,106,Feminino,25-39 (Millennials),Moda,Garten Shopping - Estacionamento,50
129771,46626.0,1,Feminino,25-39 (Millennials),Serviços,CVC,51
57772,46492.84,115,Feminino,25-39 (Millennials),Moda,Adidas,52
361358,46269.63,4,Masculino,40-54 (Gen X),Moda,Brooksfield,53
147317,46178.67,24,Feminino,55-69 (Boomers),Moda,Le Lis Blanc,54
279385,45885.73,3,Masculino,55-69 (Boomers),Beleza e Bem-estar,Bergerson,55
133578,45750.61,35,Feminino,40-54 (Gen X),Moda,Brooksfield,56
143395,45579.409999999996,140,Feminino,40-54 (Gen X),Moda,Renner,57
282094,45000.0,3,Masculino,40-54 (Gen X),Serviços,CVC,58
134777,44519.7,25,Feminino,40-54 (Gen X),Moda,Renner,59
