loja,valor,clientes
Renner,1455788.53,3762
Nike Unite,1317555.78,2502
Vivara,1148049.33,406
C&A,832657.06,2457
Centauro,817281.67,2049
Vivo,805200.52,168
Claro,767547.6,201
Magazine Luiza,739008.12,298
Riachuelo,727054.52,2298
Empório Du Homem,628722.16,734
Decathlon,526443.1900000001,1760
Óticas Carol,513534.07,272
Brooksfield,477238.15,318
Ri Happy Baby,476718.85000000003,1634
iPlace Mobile,451898.42,132
Carioca Calçados,367385.71,1006
Hering Store,357309.78,969
Samsung,352363.14,79
Damyller ,348087.0,377
IDELI.OUI,333611.65,541
