faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),80956.23,138
Boomers (1946-1964),Noite (18h-22h),141593.38,350
Boomers (1946-1964),Tarde (12h-18h),147663.57,392
Gen X (1965-1980),Manha (6h-12h),330659.99,1104
Gen X (1965-1980),Noite (18h-22h),622475.62,2097
Gen X (1965-1980),Tarde (12h-18h),621401.27,2209
Gen Z (1997-2012),Manha (6h-12h),96773.9,364
Gen Z (1997-2012),Noite (18h-22h),216089.43,889
Gen Z (1997-2012),Tarde (12h-18h),161502.82,716
Millennials (1981-1996),Manha (6h-12h),508255.59,1740
Millennials (1981-1996),Noite (18h-22h),1081727.27,3814
Millennials (1981-1996),Tarde (12h-18h),943611.32,3796
Nao Informado,Noite (18h-22h),256.6,2
Silent (antes 1946),Manha (6h-12h),499.9,1
Silent (antes 1946),Noite (18h-22h),3671.75,3
Silent (antes 1946),Tarde (12h-18h),2242.15,10
