cliente_id,valor_total,qtd_compras,genero,faixa_etaria,segmento_preferido,loja_preferida,ranking
136544,322240.23,55,Feminino,70+ (Silent),Joalheria,Vivara,1
371971,292103.3,8,Masculino,25-39 (Millennials),Joalheria,Kulkes,2
145627,247049.23,122,Feminino,25-39 (Millennials),Moda,Sephora,3
501461,202773.0,2,Feminino,70+ (Silent),Joalheria,Kulkes,4
141997,188429.52000000002,77,Feminino,40-54 (Gen X),Infantil,Adcos,5
36945,185332.9,17,Masculino,40-54 (Gen X),Serviços,Balneário Shopping - Estacionamento,6
334434,161753.01,211,Feminino,55-69 (Boomers),Gastronomia,Balneário Shopping - Estacionamento,7
240377,159928.08,54,Feminino,40-54 (Gen X),Joalheria,Boiko,8
123783,154123.94,143,Feminino,55-69 (Boomers),Moda,Bacio di Latte,9
113259,151692.02,172,Feminino,55-69 (Boomers),Moda,Zara,10
146018,132942.04,285,Masculino,40-54 (Gen X),Moda,Lindt,11
119075,111096.95,79,Feminino,40-54 (Gen X),Moda,Life Vivara,12
313035,108039.04000000001,31,Feminino,55-69 (Boomers),Moda,Live!,13
38158,102815.67,17,Feminino,25-39 (Millennials),Moda,Vivara,14
366659,100000.0,1,Masculino,25-39 (Millennials),Joalheria,Dvie Joalheria,15
102471,96638.98,168,Feminino,40-54 (Gen X),Gastronomia,Outback Steakhouse,16
470895,92949.99,2,Masculino,40-54 (Gen X),Beleza e Bem-estar,.,17
414444,91088.95,50,Feminino,25-39 (Millennials),Moda Feminina,Patbo,18
168511,90060.32,19,Feminino,55-69 (Boomers),Moda,Richard's,19
167299,86817.71,143,Feminino,40-54 (Gen X),Moda,Balneário Shopping - Estacionamento,20
154424,86567.22,292,Feminino,40-54 (Gen X),Moda,Kalunga,21
166043,86042.91,91,Feminino,40-54 (Gen X),Gastronomia,Bacio di Latte,22
32348,83146.15,48,Feminino,25-39 (Millennials),Moda,The North Face,23
243232,82433.77,105,Feminino,25-39 (Millennials),Moda,Natura,24
71293,82388.56,186,Masculino,25-39 (Millennials),Moda,Zara,25
188213,80172.64,92,Masculino,55-69 (Boomers),Gastronomia,Balneário Shopping - Estacionamento,26
418488,79731.65,5,Masculino,55-69 (Boomers),Eletrônicos,Café Cultura,27
2374,78874.32,203,Masculino,40-54 (Gen X),Gastronomia,Zara,28
24098,78075.88,189,Masculino,40-54 (Gen X),Moda,Sephora,29
331552,75658.2,6,Feminino,55-69 (Boomers),Eletrônicos,iPlace Mobile,30
487823,75487.19,6,Masculino,40-54 (Gen X),Moda,.,31
119275,74867.55,136,Masculino,25-39 (Millennials),Moda,Superlegal Brinquedos,32
132893,74628.67,98,Feminino,25-39 (Millennials),Moda,Zara,33
219563,73917.99,70,Feminino,40-54 (Gen X),Moda,Renner,34
500632,73811.0,3,Masculino,55-69 (Boomers),Moda,Diesel,35
100109,73800.55,210,Feminino,70+ (Silent),Moda,Zara,36
20931,73653.93000000001,70,Feminino,40-54 (Gen X),Moda,Renner,37
190951,73330.51,99,Feminino,40-54 (Gen X),Moda,Balneário Shopping - Estacionamento,38
126173,71430.27,174,Feminino,55-69 (Boomers),Gastronomia,Freddo,39
143793,69253.91,26,Masculino,40-54 (Gen X),Moda,Superlegal Brinquedos,40
481837,68500.0,1,Masculino,55-69 (Boomers),Joalheria,Kulkes,41
257051,68499.89,25,Feminino,25-39 (Millennials),Moda,Pecorino,42
70120,68483.2,54,Masculino,40-54 (Gen X),Moda,Balneário Shopping - Estacionamento,43
133518,68136.71,112,Feminino,55-69 (Boomers),Moda,Zara,44
248764,67853.05,30,Feminino,70+ (Silent),Moda Feminina,Souq ,45
382405,67794.0,1,Masculino,40-54 (Gen X),Joalheria,Kulkes,46
307720,66340.5,1,Masculino,40-54 (Gen X),Joalheria,Sandra Duwe,47
199720,66332.66,86,Feminino,25-39 (Millennials),Moda,Sephora,48
112029,66151.13,252,Feminino,40-54 (Gen X),Gastronomia,Tea Shop,49
284318,65702.11,15,Feminino,55-69 (Boomers),Moda,Rayban,50
38316,64709.22,132,Masculino,40-54 (Gen X),Gastronomia,Outback Steakhouse,51
479766,64000.0,1,Masculino,40-54 (Gen X),Joalheria,Kulkes,52
29417,63995.3,40,Feminino,40-54 (Gen X),Moda,Zara,53
489685,63863.79,20,Feminino,55-69 (Boomers),Casa e Decoração,Le Creuset,54
360432,63674.15,26,Feminino,25-39 (Millennials),Moda,Vivara,55
8892,62838.92,81,Feminino,40-54 (Gen X),Moda,Madero,56
116950,62731.97,79,Feminino,40-54 (Gen X),Moda,Renner,57
80961,62414.08,121,Masculino,40-54 (Gen X),Gastronomia,Riachuelo,58
478106,62205.95,34,Feminino,40-54 (Gen X),Moda,LE LIS BLANC DEUX,59
435405,62183.88,6,Feminino,40-54 (Gen X),Beleza e Bem-estar,.,60
372005,61670.95,8,Feminino,55-69 (Boomers),Joalheria,Vivara,61
327906,61567.770000000004,8,Masculino,40-54 (Gen X),Serviços,Be Fly,62
137610,61428.950000000004,48,Feminino,40-54 (Gen X),Moda,Livrarias Catarinense,63
262049,61352.83,50,Feminino,40-54 (Gen X),Moda,.,64
143935,60361.65,72,Feminino,40-54 (Gen X),Moda,Shoulder,65
193032,60282.12,84,Feminino,40-54 (Gen X),Gastronomia,Livrarias Catarinense,66
221712,60259.25,10,Masculino,25-39 (Millennials),Beleza e Bem-estar,Vivara,67
71835,59862.88,96,Feminino,40-54 (Gen X),Moda,Zara,68
80769,58685.27,76,Feminino,40-54 (Gen X),Moda,Zara,69
62348,58667.84,71,Feminino,40-54 (Gen X),Moda,Granado,70
477365,58661.55,8,Feminino,40-54 (Gen X),Joalheria,Vivara,71
283616,58411.15,55,Feminino,70+ (Silent),Moda,Lacoste,72
147160,58291.63,16,Masculino,55-69 (Boomers),Eletrodomésticos,Ponto Frio ,73
37230,57763.52,98,Feminino,40-54 (Gen X),Moda,Zara,74
194952,57473.88,11,Feminino,70+ (Silent),Moda,Magic Feet,75
160636,57311.93,50,Feminino,40-54 (Gen X),Moda,Renner,76
77079,57101.55,178,Feminino,25-39 (Millennials),Gastronomia,Zara,77
241526,56703.22,50,Feminino,25-39 (Millennials),Beleza e Bem-estar,Live!,78
352871,56022.07,16,Feminino,40-54 (Gen X),Joalheria,Vivara,79
15722,55808.44,70,Feminino,25-39 (Millennials),Infantil,Superlegal Brinquedos,80
