faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),16674.16,37
Boomers (1946-1964),Noite (18h-22h),17215.83,44
Boomers (1946-1964),Tarde (12h-18h),9539.01,24
Gen X (1965-1980),Manha (6h-12h),61193.75,110
Gen X (1965-1980),Noite (18h-22h),112595.24,183
Gen X (1965-1980),Tarde (12h-18h),63230.42,142
Gen Z (1997-2012),Manha (6h-12h),15197.67,28
Gen Z (1997-2012),Noite (18h-22h),73841.31,53
Gen Z (1997-2012),Tarde (12h-18h),50308.08,56
Millennials (1981-1996),Manha (6h-12h),101106.77,187
Millennials (1981-1996),Noite (18h-22h),135415.73,291
Millennials (1981-1996),Tarde (12h-18h),89896.0,205
Nao Informado,Noite (18h-22h),51.97,1
Nao Informado,Tarde (12h-18h),17.5,1
Silent (antes 1946),Tarde (12h-18h),180.4,1
