faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,6965.39,22
Boomers (1946-1964),Quarta,4338.110000000001,17
Boomers (1946-1964),Quinta,5390.27,13
Boomers (1946-1964),Sabado,8409.119999999999,12
Boomers (1946-1964),Segunda,9394.42,17
Boomers (1946-1964),Sexta,4627.89,14
Boomers (1946-1964),Terca,4303.8,10
Gen X (1965-1980),Domingo,47592.3,87
Gen X (1965-1980),Quarta,25946.15,52
Gen X (1965-1980),Quinta,50551.09,77
Gen X (1965-1980),Sabado,46505.18,78
Gen X (1965-1980),Segunda,20332.19,44
Gen X (1965-1980),Sexta,19825.82,44
Gen X (1965-1980),Terca,26266.68,53
Gen Z (1997-2012),Domingo,19156.32,41
Gen Z (1997-2012),Quarta,76118.95,21
Gen Z (1997-2012),Quinta,2398.74,10
Gen Z (1997-2012),Sabado,8588.78,19
Gen Z (1997-2012),Segunda,19145.16,13
Gen Z (1997-2012),Sexta,9750.66,27
Gen Z (1997-2012),Terca,4188.45,6
Millennials (1981-1996),Domingo,73449.46,115
Millennials (1981-1996),Quarta,65682.72,86
Millennials (1981-1996),Quinta,38457.58,91
Millennials (1981-1996),Sabado,39228.7,112
Millennials (1981-1996),Segunda,42497.69,114
Millennials (1981-1996),Sexta,37303.55,104
Millennials (1981-1996),Terca,29798.8,61
Nao Informado,Quinta,17.5,1
Nao Informado,Sabado,51.97,1
Silent (antes 1946),Sabado,180.4,1
