faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,22741.65,54
Boomers (1946-1964),Quarta,20301.6,48
Boomers (1946-1964),Quinta,12769.31,34
Boomers (1946-1964),Sabado,28988.31,48
Boomers (1946-1964),Segunda,66128.52,58
Boomers (1946-1964),Sexta,17045.66,42
Boomers (1946-1964),Terca,19317.52,40
Gen X (1965-1980),Domingo,143735.19,255
Gen X (1965-1980),Quarta,112833.51,180
Gen X (1965-1980),Quinta,127230.8,222
Gen X (1965-1980),Sabado,163695.94,253
Gen X (1965-1980),Segunda,86224.77,170
Gen X (1965-1980),Sexta,80952.14,155
Gen X (1965-1980),Terca,211240.81,223
Gen Z (1997-2012),Domingo,33962.29,71
Gen Z (1997-2012),Quarta,89834.23,50
Gen Z (1997-2012),Quinta,9673.16,34
Gen Z (1997-2012),Sabado,23227.91,62
Gen Z (1997-2012),Segunda,38132.520000000004,50
Gen Z (1997-2012),Sexta,20495.45,58
Gen Z (1997-2012),Terca,18225.55,44
Millennials (1981-1996),Domingo,205468.91,366
Millennials (1981-1996),Quarta,161620.19,263
Millennials (1981-1996),Quinta,111875.92,251
Millennials (1981-1996),Sabado,152423.63,343
Millennials (1981-1996),Segunda,141772.33,307
Millennials (1981-1996),Sexta,138405.29,299
Millennials (1981-1996),Terca,236821.19,328
Nao Informado,Domingo,518.5,2
Nao Informado,Quarta,343.99,1
Nao Informado,Quinta,17.5,1
Nao Informado,Sabado,88.87,3
Nao Informado,Segunda,43.7,2
Nao Informado,Terca,112.42,2
Silent (antes 1946),Sabado,740.15,2
Silent (antes 1946),Segunda,2253.0,1
