faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,1972390.59,5415
Boomers (1946-1964),Quarta,1777573.73,4014
Boomers (1946-1964),Quinta,1689394.45,3616
Boomers (1946-1964),Sabado,1817353.34,4509
Boomers (1946-1964),Segunda,2395078.61,5042
Boomers (1946-1964),Sexta,1981165.48,4020
Boomers (1946-1964),Terca,2237317.04,4573
Gen X (1965-1980),Domingo,8948863.76,26228
Gen X (1965-1980),Quarta,6523099.36,17515
Gen X (1965-1980),Quinta,5521788.08,14008
Gen X (1965-1980),Sabado,7730116.13,21840
Gen X (1965-1980),Segunda,8852596.38,23127
Gen X (1965-1980),Sexta,6460579.8,17081
Gen X (1965-1980),Terca,7762559.09,21074
Gen Z (1997-2012),Domingo,3976298.78,13584
Gen Z (1997-2012),Quarta,2414857.46,8346
Gen Z (1997-2012),Quinta,1896567.0,6869
Gen Z (1997-2012),Sabado,3195144.58,11449
Gen Z (1997-2012),Segunda,3281302.45,9859
Gen Z (1997-2012),Sexta,2351099.22,8301
Gen Z (1997-2012),Terca,2784289.16,9382
Millennials (1981-1996),Domingo,14830984.47,46408
Millennials (1981-1996),Quarta,9918732.35,28691
Millennials (1981-1996),Quinta,7981718.98,23257
Millennials (1981-1996),Sabado,11946126.12,38309
Millennials (1981-1996),Segunda,12398268.6,35855
Millennials (1981-1996),Sexta,9098976.19,27757
Millennials (1981-1996),Terca,11746025.92,33817
Nao Informado,Domingo,9522.51,34
Nao Informado,Quarta,1188.2,6
Nao Informado,Quinta,3341.94,9
Nao Informado,Sabado,6000.28,34
Nao Informado,Segunda,5315.67,23
Nao Informado,Sexta,4265.39,9
Nao Informado,Terca,2573.25,12
Silent (antes 1946),Domingo,57393.49,146
Silent (antes 1946),Quarta,32817.450000000004,79
Silent (antes 1946),Quinta,30769.86,79
Silent (antes 1946),Sabado,43646.58,98
Silent (antes 1946),Segunda,33941.09,113
Silent (antes 1946),Sexta,39321.09,108
Silent (antes 1946),Terca,45371.87,89
