faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,22623.85,128
Boomers (1946-1964),Quarta,17896.9,93
Boomers (1946-1964),Quinta,25179.149999999998,126
Boomers (1946-1964),Sabado,18902.77,137
Boomers (1946-1964),Segunda,17947.079999999998,72
Boomers (1946-1964),Sexta,97681.75,136
Boomers (1946-1964),Terca,16288.9,82
Gen X (1965-1980),Domingo,231225.41,1193
Gen X (1965-1980),Quarta,164442.76,947
Gen X (1965-1980),Quinta,143079.84,826
Gen X (1965-1980),Sabado,196545.19,1044
Gen X (1965-1980),Segunda,151357.26,672
Gen X (1965-1980),Sexta,217219.69,980
Gen X (1965-1980),Terca,140495.29,670
Gen Z (1997-2012),Domingo,180700.42,992
Gen Z (1997-2012),Quarta,160378.87,948
Gen Z (1997-2012),Quinta,121592.52,819
Gen Z (1997-2012),Sabado,168024.37,905
Gen Z (1997-2012),Segunda,131793.45,678
Gen Z (1997-2012),Sexta,136147.44,919
Gen Z (1997-2012),Terca,95991.48,648
Millennials (1981-1996),Domingo,555751.3,2940
Millennials (1981-1996),Quarta,370494.8,2138
Millennials (1981-1996),Quinta,391355.72,2127
Millennials (1981-1996),Sabado,586621.5,3019
Millennials (1981-1996),Segunda,379189.63,1979
Millennials (1981-1996),Sexta,428016.65,2489
Millennials (1981-1996),Terca,304939.31,1768
Nao Informado,Domingo,2126.2200000000003,12
Nao Informado,Quarta,532.2,4
Nao Informado,Quinta,1202.94,7
Nao Informado,Sabado,673.27,6
Nao Informado,Segunda,1519.35,8
Nao Informado,Sexta,467.83,5
Nao Informado,Terca,704.19,7
Silent (antes 1946),Domingo,768.9,2
Silent (antes 1946),Quarta,134.99,3
Silent (antes 1946),Quinta,885.74,4
Silent (antes 1946),Sabado,3561.01,18
Silent (antes 1946),Sexta,439.99,2
