loja,valor,clientes
Zara,1008389.36,1293
Vivara,599960.31,179
Sephora,487264.25,634
Renner,433884.38,1122
Centauro,407894.41000000003,720
iPlace Mobile,275375.9,68
C&A,224713.12,649
Padrão,221684.04,98
Tok&Stok,184027.26,281
Riachuelo,153439.28,441
Brooksfield,150116.19999999998,65
Life Vivara,149217.98,205
TIM,148263.68,34
Paris Cosméticos,148104.8,399
Alô Bebê,147084.74,248
Adidas,145886.51,140
Shoulder,144827.3,129
Lofty style ,125678.42,147
Superlegal Brinquedos,124885.69,384
LE LIS BLANC DEUX,120798.81,116
