faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,3762119.41,10146
Boomers (1946-1964),Quarta,3002332.96,6788
Boomers (1946-1964),Quinta,3184408.96,7064
Boomers (1946-1964),Sabado,4247458.9,9629
Boomers (1946-1964),Segunda,3636278.69,7732
Boomers (1946-1964),Sexta,3578051.71,7590
Boomers (1946-1964),Terca,3448191.43,7150
Gen X (1965-1980),Domingo,17875534.96,53474
Gen X (1965-1980),Quarta,11450130.18,31167
Gen X (1965-1980),Quinta,11062887.49,29674
Gen X (1965-1980),Sabado,17008949.05,49078
Gen X (1965-1980),Segunda,14159166.17,38169
Gen X (1965-1980),Sexta,11959564.89,33542
Gen X (1965-1980),Terca,11879923.71,33267
Gen Z (1997-2012),Domingo,7817541.56,27137
Gen Z (1997-2012),Quarta,4059051.0100000002,14949
Gen Z (1997-2012),Quinta,3686705.42,14080
Gen Z (1997-2012),Sabado,6573222.66,23801
Gen Z (1997-2012),Segunda,5252478.52,16743
Gen Z (1997-2012),Sexta,4428375.16,15989
Gen Z (1997-2012),Terca,4270375.12,15473
Millennials (1981-1996),Domingo,30543549.18,97068
Millennials (1981-1996),Quarta,17380523.39,52963
Millennials (1981-1996),Quinta,16167848.91,50167
Millennials (1981-1996),Sabado,26411880.54,85202
Millennials (1981-1996),Segunda,20816832.61,62243
Millennials (1981-1996),Sexta,18087931.38,57006
Millennials (1981-1996),Terca,18572026.37,55566
Nao Informado,Domingo,38555.56,101
Nao Informado,Quarta,16639.54,70
Nao Informado,Quinta,12480.69,63
Nao Informado,Sabado,13824.63,70
Nao Informado,Segunda,46145.3,122
Nao Informado,Sexta,13614.550000000001,63
Nao Informado,Terca,11314.67,68
Silent (antes 1946),Domingo,125707.37,272
Silent (antes 1946),Quarta,71326.4,160
Silent (antes 1946),Quinta,80919.09,185
Silent (antes 1946),Sabado,99653.76,241
Silent (antes 1946),Segunda,76633.15,184
Silent (antes 1946),Sexta,84697.19,207
Silent (antes 1946),Terca,89527.82,158
