faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),4661402.33,9813
Boomers (1946-1964),Noite (18h-22h),9001447.69,21583
Boomers (1946-1964),Tarde (12h-18h),11195992.04,24703
Gen X (1965-1980),Manha (6h-12h),18249002.52,48181
Gen X (1965-1980),Noite (18h-22h),39790641.04,113074
Gen X (1965-1980),Tarde (12h-18h),37356512.89,107116
Gen Z (1997-2012),Manha (6h-12h),5657869.3,19017
Gen Z (1997-2012),Noite (18h-22h),17775604.32,62532
Gen Z (1997-2012),Tarde (12h-18h),12654275.83,46623
Millennials (1981-1996),Manha (6h-12h),27794317.330000002,79331
Millennials (1981-1996),Noite (18h-22h),65956613.45,205214
Millennials (1981-1996),Tarde (12h-18h),54229661.6,175670
Nao Informado,Manha (6h-12h),27953.85,74
Nao Informado,Noite (18h-22h),68908.99,222
Nao Informado,Tarde (12h-18h),55712.1,261
Silent (antes 1946),Manha (6h-12h),135484.58,265
Silent (antes 1946),Noite (18h-22h),216614.08,473
Silent (antes 1946),Tarde (12h-18h),276366.12,669
