cliente_id,valor_total,qtd_compras,genero,faixa_etaria,segmento_preferido,loja_preferida,ranking
167866,82665.59,117,Masculino,40-54 (Gen X),Moda,Vivara,1
349626,64029.89,2,Feminino,55-69 (Boomers),Serviços,CVC,2
150024,41957.04,25,Feminino,40-54 (Gen X),Gastronomia,Cobasi,3
141503,41541.590000000004,513,Feminino,40-54 (Gen X),Gastronomia,Atacadão,4
257620,38741.06,1,Feminino,55-69 (Boomers),Serviços,CVC,5
383408,38175.44,1,Feminino,40-54 (Gen X),Serviços,CVC,6
356176,37949.72,1,Feminino,55-69 (Boomers),Serviços,CVC,7
225025,35458.65,53,Masculino,55-69 (Boomers),Gastronomia,Atacadão,8
262809,32380.69,72,Masculino,16-24 (Gen Z),Supermercado,Atacadão,9
350942,32247.579999999998,160,Masculino,40-54 (Gen X),Gastronomia,Havan,10
160077,32178.239999999998,4,Masculino,40-54 (Gen X),Esportes,Audithorium,11
383602,31401.760000000002,2,Masculino,40-54 (Gen X),Serviços,CVC,12
254638,30957.71,1,Feminino,25-39 (Millennials),Serviços,CVC,13
487322,30348.01,2,Feminino,40-54 (Gen X),Eletrônicos,Game Mania,14
231789,29885.24,115,Feminino,55-69 (Boomers),Gastronomia,Sabor Brasileiro,15
126601,29779.89,85,Feminino,40-54 (Gen X),Gastronomia,Atacadão,16
172510,29617.73,20,Feminino,55-69 (Boomers),Beleza e Bem-estar,Botoclinic,17
453857,29365.8,1,Feminino,25-39 (Millennials),Serviços,CVC,18
500331,29283.0,1,Masculino,25-39 (Millennials),Serviços,CVC,19
247256,29100.0,1,Feminino,40-54 (Gen X),Serviços,CVC,20
370742,27491.42,1,Feminino,16-24 (Gen Z),Serviços,CVC,21
58528,27276.01,178,Feminino,55-69 (Boomers),Gastronomia,Cacau Show,22
30364,26294.69,222,Masculino,40-54 (Gen X),Supermercado,Atacadão,23
160012,26188.17,436,Masculino,40-54 (Gen X),Gastronomia,Mini Kalzone,24
334643,26109.260000000002,13,Masculino,40-54 (Gen X),Moda,Estacionamento Norte Shopping,25
163381,25754.5,98,Feminino,40-54 (Gen X),Gastronomia,Mc Donalds ,26
219889,25209.03,122,Masculino,55-69 (Boomers),Gastronomia,Atacadão,27
198683,23947.71,216,Feminino,25-39 (Millennials),Gastronomia,Atacadão,28
195139,23748.99,127,Feminino,25-39 (Millennials),Supermercado,Atacadão,29
184172,23045.93,98,Feminino,40-54 (Gen X),Moda,Havan,30
222746,22746.96,176,Feminino,40-54 (Gen X),Gastronomia,Mc Donalds ,31
160516,22646.45,52,Feminino,40-54 (Gen X),Casa e Decoração,Havan,32
184833,22556.55,65,Feminino,25-39 (Millennials),Presentes e Acessórios,Atacadão,33
314219,22420.0,3,Masculino,55-69 (Boomers),Eletrônicos,CVC,34
284433,22359.74,2,Masculino,25-39 (Millennials),Serviços,CVC,35
228243,22041.010000000002,27,Feminino,25-39 (Millennials),Casa e Decoração,Havan,36
116766,21998.0,1,Feminino,55-69 (Boomers),Eletrônicos,Samsung,37
312227,21845.32,11,Feminino,55-69 (Boomers),Gastronomia,Mini Kalzone,38
194192,21630.24,206,Masculino,55-69 (Boomers),Gastronomia,Atacadão,39
452661,21399.92,4,Feminino,40-54 (Gen X),Eletrodomésticos,Magazine Luiza,40
174106,21073.59,139,Feminino,25-39 (Millennials),Gastronomia,Mr. Cheff,41
189513,21024.02,377,Feminino,25-39 (Millennials),Supermercado,Atacadão,42
234959,20967.670000000002,133,Feminino,40-54 (Gen X),Supermercado,Atacadão,43
115077,20818.17,60,Masculino,40-54 (Gen X),Supermercado,Atacadão,44
359201,20251.83,94,Masculino,16-24 (Gen Z),Gastronomia,Sabor Brasileiro,45
84627,20213.89,151,Feminino,40-54 (Gen X),Gastronomia,Lojas Americanas,46
19329,19960.2,86,Feminino,16-24 (Gen Z),Moda,Renner,47
115303,19849.64,136,Feminino,55-69 (Boomers),Gastronomia,Atacadão,48
340531,19772.05,12,Masculino,25-39 (Millennials),Eletrônicos,Game Mania,49
126094,19634.51,88,Feminino,55-69 (Boomers),Moda,Atacadão,50
165432,19508.04,158,Feminino,40-54 (Gen X),Gastronomia,Mc Donalds ,51
432344,19491.07,30,Feminino,40-54 (Gen X),Gastronomia,Atacadão,52
195726,19405.98,35,Feminino,40-54 (Gen X),Moda,JCanedo,53
229149,19382.33,56,Feminino,55-69 (Boomers),Beleza e Bem-estar,Sabor Brasileiro,54
184927,19340.4,37,Feminino,25-39 (Millennials),Pets,Cobasi,55
290410,19326.260000000002,9,Feminino,25-39 (Millennials),Beleza e Bem-estar,Cacau Show,56
188501,18889.74,113,Feminino,40-54 (Gen X),Gastronomia,Atacadão,57
446356,18755.61,1,Feminino,25-39 (Millennials),Serviços,CVC,58
220893,18692.0,3,Masculino,40-54 (Gen X),Eletrônicos,Samsung,59
215180,18598.06,144,Feminino,40-54 (Gen X),Gastronomia,Orientali,60
312634,18565.43,1,Masculino,40-54 (Gen X),Serviços,CVC,61
388604,18500.0,2,Masculino,40-54 (Gen X),Serviços,NXT Eletric,62
188189,18406.02,52,Feminino,40-54 (Gen X),Serviços,Norte Shopping - Estacionamento,63
365956,18278.18,1,Masculino,16-24 (Gen Z),Serviços,CVC,64
200491,18178.82,117,Masculino,25-39 (Millennials),Supermercado,Atacadão,65
138070,18027.37,66,Feminino,40-54 (Gen X),Moda,Havan,66
251136,17980.789999999997,4,Feminino,40-54 (Gen X),Beleza e Bem-estar,Atacadão,67
235652,17907.89,4,Feminino,40-54 (Gen X),Eletrônicos,Samsung,68
372928,17808.88,5,Masculino,25-39 (Millennials),Eletrônicos,Samsung,69
103766,17634.14,97,Feminino,25-39 (Millennials),Gastronomia,Havan,70
63247,17598.72,130,Feminino,40-54 (Gen X),Eletrodomésticos,Lojas Americanas,71
171272,17511.07,95,Feminino,40-54 (Gen X),Casa e Decoração,Havan,72
217846,17466.3,3,Masculino,25-39 (Millennials),Eletrônicos,Samsung,73
349,17403.63,129,Masculino,25-39 (Millennials),Gastronomia,Centauro,74
111714,17253.5,141,Feminino,25-39 (Millennials),Gastronomia,Feng Cheng,75
346127,17189.16,1,Masculino,40-54 (Gen X),Serviços,CVC,76
