faixa_etaria,segmento,valor,clientes,ranking
Gen X (1965-1980),Moda,295433.23,495,1
Gen X (1965-1980),Gastronomia,104043.91,426,2
Gen X (1965-1980),Eletrônicos,84298.41,36,3
Gen X (1965-1980),Beleza e Bem-estar,77779.43000000001,234,4
Gen X (1965-1980),Casa e Decoração,73907.63,174,5
Millennials (1981-1996),Moda,660928.23,1152,1
Millennials (1981-1996),Casa e Decoração,176166.01,445,2
Millennials (1981-1996),Gastronomia,163191.98,974,3
Millennials (1981-1996),Infantil,157059.35,484,4
Millennials (1981-1996),Calçados,146424.97,426,5
Gen Z (1997-2012),Moda,191615.61,333,1
Gen Z (1997-2012),Gastronomia,55746.19,286,2
Gen Z (1997-2012),Casa e Decoração,51515.03,112,3
Gen Z (1997-2012),Supermercado,38186.5,68,4
Gen Z (1997-2012),Calçados,36342.590000000004,108,5
Boomers (1946-1964),Moda,56857.03,81,1
Boomers (1946-1964),Casa e Decoração,31086.18,43,2
Boomers (1946-1964),Eletrônicos,19045.0,5,3
Boomers (1946-1964),Gastronomia,12200.75,51,4
Boomers (1946-1964),Eletrodomésticos,9492.210000000001,20,5
Nao Informado,Casa e Decoração,1614.05,1,1
Nao Informado,Eletrodomésticos,749.0,1,2
Nao Informado,Calçados,509.95000000000005,1,3
Nao Informado,Supermercado,377.87,1,4
Nao Informado,Beleza e Bem-estar,354.0,1,5
Silent (antes 1946),Moda,2580.3999999999996,2,1
Silent (antes 1946),Gastronomia,1233.08,2,2
Silent (antes 1946),Calçados,945.0,1,3
Silent (antes 1946),Beleza e Bem-estar,602.79,1,4
Silent (antes 1946),Casa e Decoração,199.96,1,5
