faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),17454.48,140
Boomers (1946-1964),Noite (18h-22h),60155.32,222
Boomers (1946-1964),Tarde (12h-18h),113540.62,333
Gen X (1965-1980),Manha (6h-12h),116398.06,574
Gen X (1965-1980),Noite (18h-22h),452448.8,1740
Gen X (1965-1980),Tarde (12h-18h),488486.23,2138
Gen Z (1997-2012),Manha (6h-12h),72573.61,323
Gen Z (1997-2012),Noite (18h-22h),284147.79,1283
Gen Z (1997-2012),Tarde (12h-18h),223194.44,1242
Millennials (1981-1996),Manha (6h-12h),288437.51,1437
Millennials (1981-1996),Noite (18h-22h),994805.68,4114
Millennials (1981-1996),Tarde (12h-18h),998983.47,4228
Nao Informado,Manha (6h-12h),1126.87,2
Nao Informado,Noite (18h-22h),1614.05,1
Nao Informado,Tarde (12h-18h),975.24,5
Silent (antes 1946),Manha (6h-12h),584.86,3
Silent (antes 1946),Noite (18h-22h),1502.3899999999999,4
Silent (antes 1946),Tarde (12h-18h),3473.9799999999996,5
