loja,valor,clientes
Vivara ,2409649.19,891
Renner,2292950.27,5485
CVC,1365718.49,124
Centauro,1358328.11,3160
Riachuelo,1262328.11,3418
Bergerson,1145325.27,58
Havan,1139999.81,3098
Brooksfield,1089840.22,548
C&A,1023751.46,3005
Hering,939784.56,2499
Idéli Oui,939475.44,1277
Levi's,806064.85,1165
Pittol,741320.8200000001,2452
IPLACE MOBILE,695193.99,230
Life Vivara,661134.47,887
Makenji,620905.45,690
Shoulder,578326.24,530
Le Lis Blanc,519973.86,333
VIRUS 41,515668.81,816
Superlegal,509770.99,1857
